ID,RA,DEC,Brightness,AngularDifference
2.8820059012416794e+18,20.49047954781,20.49047954781,19.002728,0.46102760539225074
2.88200600002571e+18,20.48929891498,20.48929891498,19.005968,0.4611778866716702
2.8820056220685937e+18,20.5508528838,20.5508528838,19.064703,0.4607275632142031
2.882006618501026e+18,20.50420244464,20.50420244464,19.151989,0.4614792605019256
2.8820063779828475e+18,20.54136192366,20.54136192366,19.216785,0.4610079532559446
2.877745358108199e+18,22.67454902809,22.67454902809,19.225433,0.4087659171544407
2.877780405041236e+18,23.00083155214,23.00083155214,19.2491,0.4100449355492753
2.8820052441114373e+18,20.57381561172,20.57381561172,19.252127,0.459838304663769
2.877747350973096e+18,22.63666752488,22.63666752488,19.294914,0.41085691891818105
2.87778040504124e+18,22.99594840619,22.99594840619,19.305763,0.4102371189720054
